validation,result,column,pk,detail,source_value,target_value
record_count_check,PASS,,,"Source: 3 rows, Target: 3 rows",3,3
column_count_check,PASS,,,"Source: 49 columns, Target: 49 columns, Common: 49",49,49
metadata_type_check,PASS,account id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,account name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,account ranking list,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,arr size dynamic,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,bill state,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"bop (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,bundle product code,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,category (adjusted),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,cohort arr size,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,covered finance product category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,distributor name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,end customer,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"eop (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"eop, unadjusted  ",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,extn for late renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,finance product category,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,geo ,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,identifier,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,index#,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,industry,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,industry [custom],,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,max. fortune rank,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,month of revenue date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,order number,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,peak arr,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,previous arr,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,previous extn for late renewals,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,previous refresh overlap adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product family,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product group,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,product penetration (landed),,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,quantity,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,rcn emp count,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,refresh overlap adj,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,region,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,reseller name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,sales designation_new,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,sales rep,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,service end date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,service start date,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,shipping country,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,sku,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,territory id,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,territory name,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,variance,,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,"variance (adjusted, w/ late renewals extn)",,"Compatible types: Source 'object', Target 'object'",object,object
metadata_type_check,PASS,year of cohort date fy,,"Compatible types: Source 'object', Target 'object'",object,object
duplicate_check,PASS,,,No duplicates found in Source,0,
duplicate_check,PASS,,,No duplicates found in Target,,0
null_check,PASS,account ranking list,,"Source: 1 nulls, Target: 1 nulls",1,1
null_check,PASS,arr size dynamic,,"Source: 1 nulls, Target: 1 nulls",1,1
null_check,PASS,bundle product code,,"Source: 2 nulls, Target: 2 nulls",2,2
null_check,PASS,cohort arr size,,"Source: 3 nulls, Target: 3 nulls",3,3
null_check,PASS,max. fortune rank,,"Source: 1 nulls, Target: 1 nulls",1,1
empty_string_check,PASS,,,No empty strings found,,
primary_key_match,PASS,,,"Common: 3, Source-only: 0, Target-only: 0",3,3
data_validation,FAIL,index#,,3 mismatches in column index#,,
data_validation,FAIL,index#,"account id='0014600001JLH0kAAH', order number='REN-155583', sku='PT-SUB-ADP', service start date='10/6/2022'",Value mismatch (example 1 of 3),'6','1'
data_validation,FAIL,index#,"account id='0014600001JLMEIAA5', order number='FEDR-125205', sku='PT-SUB-ADP', service start date='9/17/2021'",Value mismatch (example 2 of 3),'25','2'
data_validation,FAIL,index#,"account id='0014600001JLBEMAA5', order number='REN-154344', sku='PT-SUB-ADP', service start date='12/2/2022'",Value mismatch (example 3 of 3),'33','6'
data_validation,FAIL,peak arr,,1 mismatches in column peak arr,,
data_validation,FAIL,peak arr,"account id='0014600001JLH0kAAH', order number='REN-155583', sku='PT-SUB-ADP', service start date='10/6/2022'",Value mismatch (example 1 of 1),'85214.27993333334','0.0'
